eng_Latn,mal_Mlym
"Yeah, I'm his cousin.
",". . അതെ ഞാൻ അവന്റെ പാറുക്കുട്ടിയാണ്.
"
"Yeah, my 2-year-old cousin.
","ഉണ്ട്, രണ്ടു വയസ്സ് ഇളയവനായ എന്റെ അനിയൻ.
"
"Yes, it's your cousin.
","അതെ നിന്റെ കണവൻ തന്നെ.
"
"Yesterday, while I was at work, my cousin stole my iphone and tested to see if it can survive a twenty five.
","കഴിഞ്ഞ ദിവസം, ഞാൻ ജോലിയിൽ ആയിരുന്നപ്പോൾ, എന്റെ കസിൻ എന്റെ ഐപാഡ് മോഷ്ടിക്കുകയും ഒരു നാല്പത് പേരെ അതിജീവിക്കാൻ കഴിയുമോ എന്ന് പരിശോധിക്കുകയും ചെയ്തു.
"
"You did the same thing with my father, my brother and my cousin Muslim.
","എന്റെ പിതാവിനോടും സഹോദരനോടും പിതൃവ്യപുത്രൻ മുസ്ലിമിനോടും അതുതന്നെ നിങ്ങൾ ചെയ്തു.
"
"You don't know your cousin.
",". നിനക്കറിയില്ല നിന്റെ ഉണ്ണിയേട്ടനെ .
"
"Your cousin Elisabeth has also conceived a son in her old age.
","കൂടാതെ നിൻറെ ചാർച്ചക്കാരിയായ എലിസബത്തും അവളുടെ വാർദ്ധക്യത്തിൽ ഒരു പുത്രനെ ഗർഭം ധരിച്ചിരിക്കുന്നു.
"
"Zara Tindall, wife of former England rugby international Mike Tindall, is Prince William's cousin.
","മുൻ ഗ്ലോസ്റ്റർ, ഇംഗ്ലണ്ട് റഗ്ബി കളിക്കാരനായ മൈക്ക് ടിൻഡലിന്റെ പത്നിയാണ് സാറാ ടിൻഡൽ.
"
"a cousin, three friends.
","ഒരു കാമുകൻ, മൂന്ന് കാമുകിമാർ.
"
"can i marry my father's cousin brother's daughter
","എനിക്ക് എൻറെ ഉപ്പയുടെ അനിയൻറെ മകളെ വിവാഹം കഴിക്കാൻ പറ്റുമോ
"
"cousin in The Netherlands.
","സഹോദരൻ നെതർലൻഡ്സിൽ.
"
"his cousin's house nearby.
","അവളുടെ ഏട്ടന്റെ വീട് അടുത്തുണ്ട്.
"
"his first cousin.
","തന്റെ ഫസ്റ്റ് കസിൻ.
"
"my cousin is like this.
","എന്റെ cousin ഇങ്ങനെ ആണ്.
"
"my cousin tells me.
","എന്റെ കസിൻ പറയാറുണ്ട്.
"
"my cousin..
","എന്റെ ഇച്ചായൻ. . .
"
"my mother's cousin died recently.
","അടുത്ത കാലത്ത് ചേട്ടന്റെ അമ്മ മരിച്ചു.
"
"my two cousins are studying in that school.
","""""""എന്റെ രണ്ടു കുട്ടികളും ആ സ്കൂളിലാണ് പഠിക്കുന്നത്.""
"
"the cousin of the Prophet Muhammad.
","മുഹമ്മദ് നബിയുടെ പിതൃവ്യപുത്രൻ.
"
"the cousins grew up together.
","സഹോദരങ്ങൾ ഒന്നിച്ചു വളർന്നു.
"
"three aunts and a cousin.
","മൂന്ന് ഏട്ടന്മാരും ഒരു ചേച്ചിയും .
"
"wife's cousin was a Christian.
","ആദ്യ ഭാര്യയുടെ അമ്മാവൻ ക്രിസ്ത്യാനിയായിരുന്നു.
"
"西4:10 My fellow prisoner Aristarchus sends you his greetings, as does Mark, the cousin of Barnabas.
","10: എന്റെ കൂട്ടുതടവുകാരനായ അരിസ് താർക്കൂസ് നിങ്ങളെ അഭിവാദനംചെയ്യുന്നു, അപ്രകാരം തന്നെ ബാർണബാസിന്റെ പിതൃവ്യപുത്രനായ മർക്കോസും.
"
"Kunchacko Boban, Indrajith, Suraj Venjarammoodu and Joju George will play the cousins.
","കുഞ്ചാക്കോ ബോബന്‍, ഇന്ദ്രജിത്ത്, സുരാജ് വെഞ്ഞാറമൂട്, ജോജു ജോര്‍ജ് - ഇവരാണ് കസിന്‍സ്.
"
"Her sisters Geeta Phogat and Babita Kumari as well as cousin Vinesh Phogat are all Commonwealth Games gold medalists in wrestling.
","പത്മശ്രീ വിജയിയും കോമണ്‍വെല്‍ത്ത് ഗെയിംസ് സ്വര്‍ണ വിജയിയുമായ ഒളിംപ്യന്‍ ഗീത ഫോഗട്ട്, സഹോദരിമാരായ ബബിത കുമാരി റിതു ഫോഗട്ട്, സംഗീത ഫോഗട്ട്, എന്നിവരെല്ലാം ഹരിയാനക്കാരാണ്.
"
"His mother and cousin sustained burns while trying to save him.
","ഇവരെ രക്ഷിക്കാനുള്ള ശ്രമത്തിനിടെ മാതാവിനും സഹോദരിക്കും പരിക്കേല്‍ക്കുകയും ചെയ്തിരുന്നു.
"
"Pankaja is trailing her cousin Dhananjay Munde in the Parli seat in Beed district in the Maharashtra assembly elections.
","മഹാരാഷ്ട്ര നിയമസഭാ തെരഞ്ഞെടുപ്പില്‍ പര്‍ളി മണ്ഡലത്തില്‍ പിതൃസഹോദരനായ ധനജ്ഞയ മുണ്ടെയോട് തോറ്റതിനെ തുടര്‍ന്ന് പാര്‍ട്ടി നേതൃത്വത്തോട് ഇടഞ്ഞുനില്‍ക്കുകയാണ് പങ്കജ മുണ്ടെ.
"
"16-year-old boy, ties cousin to bed, rapes her; arrested
","കൈകാലുകള്‍ കട്ടിലില്‍ കെട്ടിയിട്ടു, അതിക്രൂരമായി പെണ്‍കുട്ടിയെ പീഡിപ്പിച്ച 16 കാരന്‍ പിടിയില്‍
"
"He was my cousin Sameer Arya's neighbour and a close buddy.
","എന്റെ കസിൻ സമീർ ആര്യയുടെ അയൽക്കാരനും അടുത്ത സുഹൃത്തുമാണ് അജയ്.
"
"She is cousin of Babita Kapoor, another popular actress of Bollywood's yesteryears and mother of Karisma Kapoor and Kareena Kapoor.
","കരീന കപൂര്‍, കരിഷ്മ കപൂര്‍ എന്നിവരുടെ അമ്മയും ബോളിവുഡിലെ പഴയ കാല നടിയുമായ ബബിത കപൂറിന്റെ കസിന്‍ സഹോദരിയാണ് സാധന.
"
"BJP supporter shoots cousin for voting for Congress
","കോണ്‍ഗ്രസിന് വോട്ട് ചെയ്തതിൻ്റെ പേരില്‍ സഹോദരി പുത്രനെ ബിജെപി നേതാവ് വെടിവച്ചു
"
"16-year-old boy, ties cousin to bed, rapes her; arrested
","പ്രായപൂർത്തിയാകാത്ത പെൺകുട്ടിയെ കിടക്കയില്‍ കെട്ടിയിട്ട് ക്രൂരമായി പീഡിപ്പിച്ച 16 കാരന്‍ അറസ്റ്റിൽ
"
"Bought as a birthday gift for my cousin.
","ചേട്ടന്‌ ജന്മദിന സമ്മാനമായി വാങ്ങിയതാണ്‌.
"
"And my cousin and I.
","പിന്നെ ഞാനും എന്റെ കെളവിത്തള്ളയും….
"
"Besides Ranbir and Riddhima, Kareena Kapoor and Karisma Kapoor are his cousins, too.
","റിഷി കപൂറിനു പുറമെ, രൺധീർ കപൂർ, റിതു നന്ദ, റീമ ജെയ്ൻ എന്നിവരാണ് സഹോദരങ്ങൾ.
"
"“I am your cousin.
","“ഞാൻ നിങ്ങളുടെ സഹോദരനാണ്.
"
"Babita's birthday party was also attended by Kareena's actor husband Saif Ali Khan, Karisma Kapoor's children - daughter Samiera and son Kiraan and the Kapoor sisters' cousins Armaan and Adar Jain and their mother Rima Jain.
","കരീനയുടെ സഹോദരി കരിഷ്മ കപൂര്‍, ഭര്‍ത്താവും നടനുമായ സെയ്ഫ് അലി ഖാന്‍, സോഹ അലി ഖാന്‍, കുനാല്‍ കെമ്മു, രണ്‍ധീര്‍ കപൂര്‍, ബബിതാ തുടങ്ങിയവരും കരീനയുടെ ജന്മദിനം ആഘോഷിക്കാന്‍ മുംബൈയിലെ വസതിയില്‍ എത്തിയിരുന്നു.
"
"Asiatic lions are smaller with sparser manes than their African cousins.
","ഏഷ്യൻ സിംഹങ്ങൾക്ക് ആഫ്രിക്കൻ സിംഹങ്ങളേക്കാൾ സടയുടെ വലിപ്പം കുറവാണ്.
"
"All the best to my sweet cousin.
","എന്റെ സ്നേഹമുളള ചേട്ടന് എല്ലാ ആശംസകളും നേരുന്നു.
"
"Actor Priyanka Chopra is jealous of her cousin Parineeti Chopra .
","തനിക്ക് അസൂയ തോന്നുന്നുവെന്നാണ് പരിനീതി പങ്കുവച്ച ചിത്രങ്ങൾക്ക് താഴെ നടിയും പരിനീതിയുടെ സഹോദരിയുമായ പ്രിയങ്ക ചോപ്ര കുറിച്ചത്.
"
"Allu Sirish is a cousin of superstar Allu Arjun.
","ടോളിവുഡ് സൂപ്പർ താരമായ അല്ലു അർജുന്റെ ഇളയ സഹോദരനാണ് അല്ലു സിരീഷ്.
"
